path,fingerprint,stage_keys,n_urls,coverage_pct,item_types,institutions,periods,example_url,example_paths
B_flat_stages,788160c1c8bfbdcbf347c65c91f36937,date|fsth|priority|reden|text,1,0.2,AS-BR,BR,mid,/gegenstand/BR/AS-BR/30,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,2ea4b40d08ad438faa1def891482f794,date|text,1,0.2,SBPL-BR,BR,mid,/gegenstand/BR/SBPL-BR/1,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, documents, documents[].documents, documents[].documents[].link"
B_flat_stages,ad059d9dccf269ce6cc444addb47a633,date|fsth|priority|text,1,0.2,GAST-BR,BR,mid,/gegenstand/BR/GAST-BR/1,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,cea127a8be39a7a2cc6e01d45119532d,date|fsth|priority|text,1,0.2,GAST-BR,BR,mid,/gegenstand/BR/GAST-BR/2,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,7ce88e0e0073fd7473d8a0b88b6a514a,date|priority|text,1,0.2,JEU,NR,mid,/gegenstand/XXV/JEU/2,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
B_flat_stages,760ace88476c6db44bc10ae5f96b8c4c,date|priority|text,1,0.2,VER,NR,recent,/gegenstand/XXVII/VER/262,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, documents, documents[].documents, documents[].documents[].link"
B_flat_stages,97d1c8a1f287421e147fd15cd1b135c1,date|fsth|priority|text,1,0.2,GO,NR,recent,/gegenstand/XXVII/GO/1465,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, doktyp, einlangen, eurovoc"
B_flat_stages,92a04aa05f536331984f7793a400d01a,date|fsth|text,1,0.2,GO,NR,recent,/gegenstand/XXVIII/GO/543,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,2e124bb2d77b841a987abf0d23444c7c,date|priority|text,1,0.2,I,NR,recent,/gegenstand/XXVII/I/1988,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
B_flat_stages,d46a6a3ce63bb6135ab68b5d2fddf18d,date|priority|text,1,0.2,FS,NR,recent,/gegenstand/XXVII/FS/14,"agenda, agenda[].documents, agenda[].documents[].link, agenda[].documents[].type, agenda[].title, approvalstate, breadcrumbs, breadcrumbs[].title"
