item_url,item_type,institution,legis_period,period_bin,path,top_level_keys,stage_keys,fingerprint,example_paths
/gegenstand/BR/SINF-BR/327,SINF-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|names|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,a846f9d5fb78c320b6183b8b170ae453,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/MT-BR/55,MT-BR,BR,XXVI,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|text,19951fe63af7aede5514a52074e662bc,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/MT-BR/71,MT-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|text,19951fe63af7aede5514a52074e662bc,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/MT-BR/67,MT-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|text,19951fe63af7aede5514a52074e662bc,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/SB-BR/24,SB-BR,BR,XXVI,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|text,19951fe63af7aede5514a52074e662bc,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/SB-BR/26,SB-BR,BR,XXVI,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|text,19951fe63af7aede5514a52074e662bc,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/SB-BR/25,SB-BR,BR,XXVI,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|text,19951fe63af7aede5514a52074e662bc,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/BR/SLT-BR/76,SLT-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,a867cda4cde3d4321f9f782cacd7b14b,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, documents, documents[].documents, documents[].documents[].link"
/gegenstand/BR/SLT-BR/83,SLT-BR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,a867cda4cde3d4321f9f782cacd7b14b,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, documents, documents[].documents, documents[].documents[].link"
/gegenstand/BR/SLT-BR/58,SLT-BR,BR,XXVI,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,a867cda4cde3d4321f9f782cacd7b14b,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, documents, documents[].documents, documents[].documents[].link"
/gegenstand/XXVII/BNR/667,BNR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,aaf693cb4175786168ef329d0124e3b1,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/XXVII/BNR/308,BNR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,aaf693cb4175786168ef329d0124e3b1,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/XXVII/BNR/748,BNR,BR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,aaf693cb4175786168ef329d0124e3b1,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
/gegenstand/XXVII/URH2/1,URH2,NR,XXVII,recent,A_phase_stages,approvalstate|breadcrumbs|correspondence|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|names|nr_gp_code|phase|process|progress|reference|sntype|statementsstate|status|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|text,96686d14722bc1b25688c590b7317b03,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
/gegenstand/XXVIII/URH2/1,URH2,NR,XXVIII,recent,A_phase_stages,approvalstate|breadcrumbs|correspondence|deleted|description|documents|doktyp|einlangen|eurovoc|gp_code|group|headwords|history_ind|inr|intranet|ityp|names|nr_gp_code|phase|process|progress|reference|sntype|statementsstate|status|title|topics|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|fsth|priority|text,7e7ff571824201786f7a87c30e9fc995,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, correspondence, correspondence[].additional, correspondence[].date, correspondence[].title"
/gegenstand/XXVII/EUD/2,EUD,NR,XXVII,recent,B_flat_stages,approvalstate|breadcrumbs|deleted|description|documents|doktyp|einlangen|gp_code|group|history_ind|inr|intranet|ityp|nr_gp_code|process|reference|sntype|stages|statementsstate|title|type|update|vhg_fertig|vhg_fertig_docs|zitation,date|priority|text,ceae3212e6164241090f1c3ea80a2d05,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
